"PUBID","FP_ADHRISKI","FP_ADPENVRI","FP_ADENRCHI"
1288,200,0,2
1289,-4,-4,-4
1290,-4,-4,-4
1291,-4,-4,-4
1292,100,0,3
1293,-4,-4,-4
1294,0,0,3
1295,-4,-4,-4
1296,-4,-4,2
1297,-4,-4,-4
1298,-4,-4,-4
1299,300,0,1
1300,200,0,1
1301,0,0,2
1302,-4,-4,-4
1303,700,200,3
1304,-4,-4,-4
1305,-4,-4,-4
1306,-4,-4,-4
1307,100,0,2
1308,100,0,3
1309,425,0,1
1310,-4,-4,-4
1311,-4,-4,-4
1312,-4,-4,-4
1313,0,0,3
1314,100,0,3
1315,-4,-4,-4
1316,200,0,2
1317,100,0,2
1318,100,200,1
1319,100,0,2
1320,-4,-4,-4
1321,300,100,1
1322,100,0,3
1323,100,100,2
1324,-4,-4,-4
1325,200,0,2
1326,325,200,1
1327,-4,-4,-4
1328,-4,-4,-4
1329,-4,-4,-4
1330,200,0,3
1331,0,0,3
1332,-4,-4,-4
1333,-4,-4,2
1334,-4,-4,-4
1335,-4,-4,-4
1336,0,0,2
1337,0,0,2
1338,-4,-4,-4
1339,-4,-4,-4
1340,0,0,3
1341,100,0,2
1342,-4,-4,-4
1343,-4,-4,-4
1344,200,0,2
1345,-4,-4,-4
1346,325,200,2
1347,100,0,2
1348,-4,-4,-4
1349,200,200,1
1350,400,300,2
1351,-4,-4,-4
1352,200,300,2
1353,200,300,2
1354,-4,-4,-4
1355,-4,-4,-4
1356,-4,-4,-4
1357,600,500,1
1358,600,500,1
1359,-4,-4,-4
1360,-4,-4,-4
1361,100,100,3
1362,-4,-4,-4
1363,-4,-4,-4
1364,-4,-4,-4
1365,425,300,2
1366,-4,-4,-4
1367,200,200,2
1368,100,200,2
1369,-4,-4,-4
1370,100,0,2
1371,-4,-4,-4
1372,100,0,3
1373,200,0,1
1374,600,100,1
1375,325,100,2
1376,-4,-4,-4
1377,200,300,2
1378,450,-4,1
1379,225,-4,1
1380,-4,-4,-4
1381,0,0,3
1382,0,200,3
1383,600,400,2
1384,325,300,1
1385,725,100,1
1386,-4,-4,-4
1387,725,500,0
1388,950,500,1
1389,-4,-4,-4
1390,-4,-4,3
1391,-4,-4,-4
1392,-4,-4,-4
1393,800,500,1
1394,500,600,1
1395,600,600,1
1396,500,600,2
1397,825,600,1
1398,-4,-4,-4
1399,300,400,2
1400,-4,-4,-4
1401,500,200,3
1402,100,0,2
1403,-4,-4,-4
1404,100,200,2
1405,0,0,2
1406,0,0,3
1407,500,100,3
1408,-4,-4,-4
1409,300,100,2
1410,-4,-4,-4
1411,-4,-4,-4
1412,0,100,2
1413,200,0,2
1414,300,100,3
1415,100,0,2
1416,-4,-4,1
1417,100,200,1
1418,850,375,1
1419,725,300,2
1420,425,300,2
1421,300,100,3
1422,300,200,1
1423,200,200,2
1424,-4,250,2
1425,-4,-4,-4
1426,425,300,1
1427,-4,-4,1
1428,-4,-4,-4
1429,-4,-4,-4
1430,100,0,2
1431,-4,-4,-4
